product_id,product_name,category,age_group,nova,nutrition_score,ingredient_score,processing_score,additive_score,final_score,grade,cliff_penalty,dominant_nutrient,missing_data,flags
50,"Kurkure Chilli Chatka","Chips & Snacks",elderly,4,38,53,100,63,36,C-,0,saturatedFat,false,"allergen_undeclared"
51,"Kurkure Masala Munch","Chips & Snacks",child,4,41,49,100,63,36,C-,0,sodium,false,""
51,"Kurkure Masala Munch","Chips & Snacks",teen,4,50,49,100,63,39,C-,0,sodium,false,""
51,"Kurkure Masala Munch","Chips & Snacks",adult,4,50,49,100,63,39,C-,0,sodium,false,""
51,"Kurkure Masala Munch","Chips & Snacks",elderly,4,50,49,100,63,39,C-,0,sodium,false,""
52,"Lay's American Style Cream & Onion","Chips & Snacks",child,4,29,40,100,71,32,C-,0,saturatedFat,false,""
52,"Lay's American Style Cream & Onion","Chips & Snacks",teen,4,48,40,100,71,39,C-,0,saturatedFat,false,""
52,"Lay's American Style Cream & Onion","Chips & Snacks",adult,4,40,40,100,71,36,C-,0,saturatedFat,false,""
52,"Lay's American Style Cream & Onion","Chips & Snacks",elderly,4,40,40,100,71,36,C-,0,saturatedFat,false,""
53,"Lay's Chile Limon","Chips & Snacks",child,4,27,46,100,71,32,C-,0,saturatedFat,false,"allergen_undeclared"
53,"Lay's Chile Limon","Chips & Snacks",teen,4,42,46,100,71,38,C-,0,sodium,false,"allergen_undeclared"
53,"Lay's Chile Limon","Chips & Snacks",adult,4,38,46,100,71,36,C-,0,saturatedFat,false,"allergen_undeclared"
53,"Lay's Chile Limon","Chips & Snacks",elderly,4,38,46,100,71,36,C-,0,saturatedFat,false,"allergen_undeclared"
54,"Lay's Classic","Chips & Snacks",child,4,28,54,100,75,34,C-,0,saturatedFat,false,"allergen_undeclared"
54,"Lay's Classic","Chips & Snacks",teen,4,48,54,100,75,41,C,0,saturatedFat,false,"allergen_undeclared"
54,"Lay's Classic","Chips & Snacks",adult,4,39,54,100,75,38,C-,0,saturatedFat,false,"allergen_undeclared"
54,"Lay's Classic","Chips & Snacks",elderly,4,39,54,100,75,38,C-,0,saturatedFat,false,"allergen_undeclared"
55,"Lay's Hot & Sweet Chilli","Chips & Snacks",child,4,29,39,100,71,32,C-,0,saturatedFat,false,""
55,"Lay's Hot & Sweet Chilli","Chips & Snacks",teen,4,49,39,100,71,39,C-,0,saturatedFat,false,""
55,"Lay's Hot & Sweet Chilli","Chips & Snacks",adult,4,41,39,100,71,36,C-,0,saturatedFat,false,""
55,"Lay's Hot & Sweet Chilli","Chips & Snacks",elderly,4,41,39,100,71,36,C-,0,saturatedFat,false,""
56,"Lay's India's Magic Masala","Chips & Snacks",child,4,29,50,100,0,23,D+,0,saturatedFat,false,"allergen_undeclared"
56,"Lay's India's Magic Masala","Chips & Snacks",teen,4,48,50,100,0,29,D+,0,saturatedFat,false,"allergen_undeclared"
